# Table format: 2D
# Generated by the battery pre-calibrated tool of Simcenter Amesim 17.0
# Parameters:
#     model type:                   battery equivalent circuit model
#     battery database:             NMC HP
#     name of pre-calibrated cell:  Li-ion NMC-C High Power quasi-static battery cell with dynamic semi-empirical aging
#     reference capacity:           8.0 Ah
101
3
0.00000000000000e+00    1.00000000000000e+00    2.00000000000000e+00    3.00000000000000e+00    4.00000000000000e+00    5.00000000000000e+00    6.00000000000000e+00    7.00000000000000e+00    8.00000000000000e+00    9.00000000000000e+00    1.00000000000000e+01    1.10000000000000e+01    1.20000000000000e+01    1.30000000000000e+01    1.40000000000000e+01    1.50000000000000e+01    1.60000000000000e+01    1.70000000000000e+01    1.80000000000000e+01    1.90000000000000e+01    2.00000000000000e+01    2.10000000000000e+01    2.20000000000000e+01    2.30000000000000e+01    2.40000000000000e+01    2.50000000000000e+01    2.60000000000000e+01    2.70000000000000e+01    2.80000000000000e+01    2.90000000000000e+01    3.00000000000000e+01    3.10000000000000e+01    3.20000000000000e+01    3.30000000000000e+01    3.40000000000000e+01    3.50000000000000e+01    3.60000000000000e+01    3.70000000000000e+01    3.80000000000000e+01    3.90000000000000e+01    4.00000000000000e+01    4.10000000000000e+01    4.20000000000000e+01    4.30000000000000e+01    4.40000000000000e+01    4.50000000000000e+01    4.60000000000000e+01    4.70000000000000e+01    4.80000000000000e+01    4.90000000000000e+01    5.00000000000000e+01    5.10000000000000e+01    5.20000000000000e+01    5.30000000000000e+01    5.40000000000000e+01    5.50000000000000e+01    5.60000000000000e+01    5.70000000000000e+01    5.80000000000000e+01    5.90000000000000e+01    6.00000000000000e+01    6.10000000000000e+01    6.20000000000000e+01    6.30000000000000e+01    6.40000000000000e+01    6.50000000000000e+01    6.60000000000000e+01    6.70000000000000e+01    6.80000000000000e+01    6.90000000000000e+01    7.00000000000000e+01    7.10000000000000e+01    7.20000000000000e+01    7.30000000000000e+01    7.40000000000000e+01    7.50000000000000e+01    7.60000000000000e+01    7.70000000000000e+01    7.80000000000000e+01    7.90000000000000e+01    8.00000000000000e+01    8.10000000000000e+01    8.20000000000000e+01    8.30000000000000e+01    8.40000000000000e+01    8.50000000000000e+01    8.60000000000000e+01    8.70000000000000e+01    8.80000000000000e+01    8.90000000000000e+01    9.00000000000000e+01    9.10000000000000e+01    9.20000000000000e+01    9.30000000000000e+01    9.40000000000000e+01    9.50000000000000e+01    9.60000000000000e+01    9.70000000000000e+01    9.80000000000000e+01    9.90000000000000e+01    1.00000000000000e+02    
0.00000000000000e+00    2.30000000000000e+01    4.00000000000000e+01    
2.67035800000000e-02    2.63671700000000e-02    2.60370700000000e-02    
2.57134500000000e-02    2.53964500000000e-02    2.50862300000000e-02    
2.47829000000000e-02    2.44865900000000e-02    2.41974000000000e-02    
2.39154100000000e-02    2.36406900000000e-02    2.33733000000000e-02    
2.31132900000000e-02    2.28606800000000e-02    2.26154900000000e-02    
2.23777100000000e-02    2.21473400000000e-02    2.19243500000000e-02    
2.17086900000000e-02    2.15003000000000e-02    2.12991200000000e-02    
2.11050700000000e-02    2.09180400000000e-02    2.07379300000000e-02    
2.05646200000000e-02    2.03979600000000e-02    2.02378100000000e-02    
2.00840200000000e-02    1.99364000000000e-02    1.97947900000000e-02    
1.96589900000000e-02    1.95287800000000e-02    1.94039700000000e-02    
1.92843200000000e-02    1.91696200000000e-02    1.90596000000000e-02    
1.89540400000000e-02    1.88526700000000e-02    1.87552300000000e-02    
1.86614500000000e-02    1.85710500000000e-02    1.84837600000000e-02    
1.83992900000000e-02    1.83173500000000e-02    1.82376400000000e-02    
1.81598700000000e-02    1.80837400000000e-02    1.80089500000000e-02    
1.79352000000000e-02    1.78621800000000e-02    1.77895900000000e-02    
1.77171200000000e-02    1.76444700000000e-02    1.75713400000000e-02    
1.74974400000000e-02    1.74224500000000e-02    1.73461000000000e-02    
1.72681000000000e-02    1.71881400000000e-02    1.71059600000000e-02    
1.70212800000000e-02    1.69338300000000e-02    1.68433500000000e-02    
1.67495700000000e-02    1.66522500000000e-02    1.65511500000000e-02    
1.64460300000000e-02    1.63366700000000e-02    1.62228400000000e-02    
1.61043500000000e-02    1.59809900000000e-02    1.58525800000000e-02    
1.57189300000000e-02    1.55798800000000e-02    1.54352800000000e-02    
1.52849700000000e-02    1.51288300000000e-02    1.49667200000000e-02    
1.47985500000000e-02    1.46242000000000e-02    1.44435900000000e-02    
1.42566500000000e-02    1.40633100000000e-02    1.38635200000000e-02    
1.36572500000000e-02    1.34444600000000e-02    1.32251400000000e-02    
1.29992900000000e-02    1.27669200000000e-02    1.25280500000000e-02    
1.22827100000000e-02    1.20309700000000e-02    1.17728600000000e-02    
1.15084600000000e-02    1.12378600000000e-02    1.09611400000000e-02    
1.06784100000000e-02    1.03897900000000e-02    1.00954000000000e-02    
9.79537500000000e-03    9.48986400000000e-03    9.87518000000000e-03    
9.68048000000000e-03    9.49237300000000e-03    9.31072300000000e-03    
9.13540000000000e-03    8.96627100000000e-03    8.80320600000000e-03    
